User,Win ratio FSM (user),Win ratio RL (user),Hit ratio FSM (user),Hit ratio RL (user),Ball hold FSM (user),Ball hold RL (user),Aggressive movements FSM (user),Aggressive movements RL (user),Defensive movements FSM (user),Defensive movements RL (user),Hiding FSM (user),Hiding RL (user),Middle court favor FSM (user),Middle court favor RL (user),Game duration FSM,Game duration RL,Number of games FSM,Number of games RL,Result FSM,Result RL
18,18.182,27.273,28.571,32.5,0.786,0.728,47.58,38.549,19.835,35.147,4.46,4.063,49.308,45.643,38.942,37.534,11,10,2-9,3-8
19,7.692,23.077,13.636,34.0,0.286,0.69,45.588,31.743,25.0,27.339,7.494,5.279,37.43,40.978,27.571,32.211,13,12,1-12,3-10
20,11.765,55.556,24.615,47.619,0.919,1.269,34.411,30.026,49.159,50.642,6.82,5.732,34.237,40.453,38.379,78.698,17,9,2-15,5-4
21,3.333,21.875,21.239,30.081,0.604,0.637,55.302,44.687,15.082,15.789,7.403,3.584,40.453,43.549,24.301,22.488,29,32,1-29,7-25
22,16.667,10.0,29.496,24.138,0.576,0.687,56.825,24.595,14.763,24.434,4.679,6.747,49.158,36.72,20.747,25.767,34,30,6-30,3-27
23,0.0,13.793,9.756,27.523,0.348,0.657,38.047,46.094,27.205,20.92,8.746,7.487,34.457,39.514,20.109,28.51,36,28,0-37,4-25
24,3.704,45.0,23.077,50.588,0.446,0.974,34.366,37.105,35.465,23.202,5.566,4.713,30.595,42.282,31.646,47.963,26,19,1-26,9-11
25,6.897,23.333,20.588,34.454,0.431,0.992,35.218,44.252,13.253,29.79,5.983,8.039,37.853,31.519,26.86,25.224,29,29,2-27,7-23
26,7.143,4.348,25.688,16.049,0.772,0.749,40.913,33.088,34.461,34.926,6.804,5.996,35.664,31.986,30.464,36.221,27,23,2-26,1-22
27,9.677,43.75,26.05,46.212,0.545,0.831,49.61,50.285,21.385,25.142,10.126,3.982,32.595,46.57,25.635,25.109,30,31,3-28,14-18
28,16.667,19.231,25.688,33.945,0.499,0.693,32.781,32.224,16.667,21.023,8.899,5.311,26.958,31.005,26.707,31.161,29,26,5-25,5-21
29,0.0,20.0,10.0,31.405,0.308,0.857,43.191,34.436,16.26,37.746,9.438,5.732,38.001,41.564,22.183,25.371,32,30,0-33,6-24
30,10.714,31.25,25.0,41.538,0.921,1.783,40.811,39.216,29.64,27.941,9.075,11.051,28.588,26.573,29.001,62.16,27,16,3-25,5-11
31,3.125,31.25,15.929,35.2,0.611,0.764,48.027,49.875,28.963,23.588,6.538,4.32,33.781,41.915,23.91,23.837,31,31,1-31,10-22
32,12.5,30.0,22.353,36.709,1.166,1.186,49.771,34.096,22.598,33.494,8.051,6.953,22.064,27.997,37.177,42.512,23,20,3-21,6-14
33,0.0,18.519,6.667,32.727,0.633,0.849,41.652,30.945,23.726,10.749,8.908,5.699,22.035,34.467,27.535,29.784,28,27,0-28,5-22
34,3.333,9.677,16.514,18.919,0.365,0.37,37.5,32.392,21.661,18.667,5.719,4.05,28.794,38.063,24.383,24.654,30,30,1-29,3-28
